"Age","Embarked","Fare","Pclass","Sex","Title","Family_Size","Survived"
71.0,"C",34.6542,1,"male","Mr",1,"0"
23.0,"C",63.3583,1,"male","Mr",2,"1"
34.0,"S",23.0,2,"female","Mrs",2,"1"
34.0,"S",26.0,2,"male","Mr",2,"0"
28.0,"S",7.8958,3,"female","Ms",1,"0"
28.0,"S",7.8958,3,"male","Mr",1,"0"
21.0,"S",77.28750000000001,1,"male","Mr",2,"0"
33.0,"S",8.654200000000001,3,"male","Mr",1,"0"
37.0,"S",7.925000000000001,3,"male","Mr",3,"0"
28.0,"S",7.8958,3,"male","Mr",1,"0"
21.0,"S",7.65,3,"female","Ms",1,"1"
29.0,"S",7.775,3,"male","Mr",1,"1"
38.0,"S",7.8958,3,"male","Mr",1,"0"
10.0,"Q",24.150000000000002,3,"female","Ms",2,"1"
47.0,"S",52.0,1,"male","Mr",1,"0"
14.5,"C",14.4542,3,"female","Ms",2,"0"
22.0,"S",8.05,3,"male","Mr",1,"0"
20.0,"S",9.825000000000001,3,"female","Ms",2,"0"
17.0,"C",14.458300000000001,3,"female","Ms",1,"0"
21.0,"S",7.925000000000001,3,"male","Mr",1,"0"
70.5,"Q",7.75,3,"male","Mr",1,"0"
29.0,"S",21.0,2,"male","Mr",2,"0"
24.0,"C",247.5208,1,"male","Mr",2,"0"
2.0,"S",31.275000000000002,3,"female","Ms",7,"0"
21.0,"S",73.5,2,"male","Mr",3,"0"
28.0,"S",8.05,3,"male","Mr",1,"0"
32.5,"C",30.070800000000002,2,"male","Mr",2,"0"
32.5,"S",13.0,2,"female","Ms",1,"1"
54.0,"S",77.28750000000001,1,"male","Mr",2,"0"
12.0,"C",11.2417,3,"male","Master",2,"1"
42.0,"Q",7.75,3,"male","Mr",1,"0"
24.0,"S",7.1417,3,"male","Mr",1,"1"
4.5,"C",22.3583,3,"female","Ms",3,"1"
45.0,"S",6.9750000000000005,3,"male","Mr",1,"0"
33.0,"C",7.8958,3,"male","Mr",1,"0"
20.0,"S",7.050000000000001,3,"male","Mr",1,"0"
47.0,"S",14.5,3,"female","Mrs",2,"0"
29.0,"S",26.0,2,"female","Mrs",2,"1"
25.0,"S",13.0,2,"male","Mr",1,"0"
23.0,"C",15.0458,2,"male","Mr",1,"0"
19.0,"S",26.2833,1,"female","Ms",3,"1"
37.0,"S",53.1,1,"male","Mr",2,"0"
16.0,"S",9.216700000000001,3,"male","Mr",1,"0"
24.0,"C",79.2,1,"male","Mr",1,"0"
29.0,"C",15.245800000000001,3,"female","Mrs",3,"0"
22.0,"S",7.75,3,"female","Ms",1,"1"
24.0,"S",15.850000000000001,3,"female","Mrs",2,"1"
19.0,"Q",6.75,3,"male","Mr",1,"0"
18.0,"S",11.5,2,"male","Mr",1,"0"
19.0,"S",36.75,2,"male","Mr",3,"0"
27.0,"S",7.795800000000001,3,"male","Mr",1,"1"
9.0,"S",34.375,3,"female","Ms",5,"0"
36.5,"S",26.0,2,"male","Mr",3,"0"
42.0,"S",13.0,2,"male","Other",1,"0"
51.0,"S",12.525,2,"male","Other",1,"0"
22.0,"S",66.60000000000001,1,"female","Mrs",2,"1"
55.5,"S",8.05,3,"male","Mr",1,"0"
40.5,"S",14.5,3,"male","Mr",3,"0"
27.5,"S",7.3125,3,"male","Mr",1,"0"
51.0,"C",61.379200000000004,1,"male","Mr",2,"0"
16.0,"Q",7.733300000000001,3,"female","Ms",1,"1"
30.0,"S",8.05,3,"male","Mr",1,"0"
26.0,"S",8.6625,3,"male","Mr",1,"0"
10.0,"S",69.55,3,"male","Master",11,"0"
44.0,"S",16.1,3,"male","Mr",2,"0"
40.0,"S",15.75,2,"female","Mrs",1,"1"
26.0,"S",7.775,3,"male","Mr",1,"0"
17.0,"S",8.6625,3,"male","Mr",1,"0"
1.0,"S",39.6875,3,"male","Master",6,"0"
9.0,"S",20.525000000000002,3,"male","Master",3,"1"
37.5,"S",55.0,1,"female","Mrs",2,"1"
45.0,"S",27.900000000000002,3,"female","Mrs",6,"0"
60.0,"S",25.925,1,"male","Mr",1,"0"
28.0,"S",56.4958,3,"male","Mr",1,"0"
61.0,"S",33.5,1,"male","Mr",1,"0"
4.0,"Q",29.125,3,"male","Master",6,"0"
1.0,"S",11.1333,3,"female","Ms",3,"1"
21.0,"S",7.925000000000001,3,"male","Mr",1,"0"
56.0,"C",30.695800000000002,1,"male","Mr",1,"0"
18.0,"S",7.8542000000000005,3,"male","Mr",3,"0"
7.0,"S",25.4667,3,"male","Master",5,"0"
50.0,"C",28.712500000000002,1,"female","Ms",1,"0"
30.0,"S",13.0,2,"male","Mr",1,"0"
36.0,"S",0.0,3,"male","Mr",1,"0"
12.5,"S",69.55,3,"female","Ms",11,"0"
23.0,"C",15.05,2,"male","Mr",1,"0"
9.0,"S",31.387500000000003,3,"male","Master",7,"0"
1.0,"S",39.0,2,"male","Master",4,"1"
4.0,"S",22.025000000000002,3,"female","Ms",3,"1"
50.5,"S",50.0,1,"male","Mr",1,"0"
32.0,"Q",15.5,3,"female","Mrs",2,"1"
45.0,"S",26.55,1,"male","Mr",1,"1"
40.0,"Q",15.5,3,"male","Mr",3,"0"
36.0,"S",7.8958,3,"male","Mr",1,"0"
32.0,"S",13.0,2,"female","Mrs",1,"1"
19.0,"S",13.0,2,"male","Mr",1,"0"
19.0,"S",7.8542000000000005,3,"female","Ms",2,"1"
3.0,"S",26.0,2,"male","Master",3,"1"
44.0,"C",27.7208,1,"female","Mrs",1,"1"
58.0,"C",146.5208,1,"female","Ms",1,"1"
42.0,"Q",7.75,3,"male","Mr",1,"0"
42.0,"S",8.404200000000001,3,"male","Mr",2,"0"
26.0,"Q",7.75,3,"female","Ms",1,"1"
24.0,"S",13.0,2,"female","Ms",1,"0"
28.0,"S",9.5,3,"male","Mr",1,"0"
28.0,"S",69.55,3,"male","Mr",11,"0"
34.0,"S",6.4958,3,"male","Mr",1,"0"
45.5,"C",7.2250000000000005,3,"male","Mr",1,"0"
18.0,"S",8.05,3,"male","Mr",1,"1"
2.0,"S",10.4625,3,"female","Ms",2,"0"
32.0,"S",15.850000000000001,3,"male","Mr",2,"0"
26.0,"C",18.7875,3,"male","Mr",1,"1"
16.0,"Q",7.75,3,"female","Ms",1,"1"
40.0,"C",31.0,1,"male","Mr",1,"1"
24.0,"S",7.050000000000001,3,"male","Mr",1,"0"
35.0,"S",21.0,2,"female","Ms",1,"1"
22.0,"S",7.25,3,"male","Mr",1,"0"
30.0,"S",13.0,2,"male","Mr",1,"0"
42.0,"Q",7.75,3,"male","Mr",2,"0"
31.0,"C",113.275,1,"female","Ms",2,"1"
27.0,"S",7.925000000000001,3,"female","Ms",1,"1"
42.0,"S",27.0,2,"male","Mr",2,"0"
32.0,"C",76.2917,1,"female","Ms",1,"1"
30.0,"S",10.5,2,"male","Mr",1,"0"
16.0,"S",8.05,3,"male","Mr",1,"1"
27.0,"S",13.0,2,"male","Mr",1,"0"
51.0,"S",8.05,3,"male","Mr",1,"0"
28.0,"S",7.8958,3,"male","Mr",1,"0"
38.0,"S",90.0,1,"male","Mr",2,"1"
22.0,"S",9.35,3,"male","Mr",1,"0"
19.0,"S",10.5,2,"male","Mr",1,"1"
20.5,"S",7.25,3,"male","Mr",1,"0"
18.0,"S",13.0,2,"male","Mr",1,"0"
7.5,"S",25.4667,3,"female","Ms",5,"0"
35.0,"S",83.47500000000001,1,"female","Mrs",2,"1"
29.0,"S",7.775,3,"male","Mr",1,"0"
59.0,"S",13.5,2,"male","Mr",1,"0"
5.0,"S",31.387500000000003,3,"female","Ms",7,"1"
24.0,"S",10.5,2,"male","Mr",1,"0"
23.0,"S",7.550000000000001,3,"female","Ms",1,"0"
44.0,"S",26.0,2,"male","Mr",2,"0"
8.0,"S",26.25,2,"female","Ms",3,"1"
19.0,"S",10.5,2,"male","Mr",1,"0"
33.0,"S",12.275,2,"male","Mr",1,"0"
16.5,"C",14.4542,3,"female","Ms",2,"0"
5.5,"Q",15.5,3,"female","Ms",2,"1"
29.0,"S",10.5,2,"male","Mr",1,"0"
22.0,"S",7.125,3,"male","Mr",1,"0"
30.0,"C",7.2250000000000005,3,"male","Mr",1,"0"
44.0,"Q",90.0,1,"male","Other",3,"0"
25.0,"S",7.775,3,"female","Ms",1,"0"
24.0,"S",14.5,2,"female","Mrs",3,"1"
37.0,"S",52.5542,1,"male","Mr",3,"1"
54.0,"S",26.0,2,"male","Other",2,"0"
30.0,"S",7.25,3,"male","Mr",1,"0"
29.0,"S",10.4625,3,"female","Mrs",3,"0"
62.0,"S",26.55,1,"male","Mr",1,"0"
30.0,"S",16.1,3,"male","Mr",2,"0"
41.0,"S",20.212500000000002,3,"female","Mrs",3,"0"
29.0,"C",15.245800000000001,3,"female","Mrs",3,"1"
45.5,"C",79.2,1,"female","Mrs",1,"1"
30.0,"S",86.5,1,"female","Ms",1,"1"
35.0,"C",512.3292,1,"female","Ms",1,"1"
50.0,"S",26.0,2,"female","Mrs",2,"1"
42.0,"Q",7.75,3,"male","Mr",1,"0"
3.0,"S",31.387500000000003,3,"male","Master",7,"1"
52.0,"S",79.65,1,"male","Mr",3,"0"
40.0,"S",0.0,1,"male","Mr",1,"0"
26.0,"Q",7.75,3,"female","Ms",1,"0"
36.0,"S",10.5,2,"male","Mr",1,"0"
16.0,"S",39.6875,3,"male","Mr",6,"0"
25.0,"S",7.775,3,"male","Mr",2,"1"
58.0,"S",153.4625,1,"female","Mrs",2,"1"
35.0,"S",135.63330000000002,1,"female","Ms",1,"1"
40.0,"S",31.0,1,"male","Mr",1,"0"
25.0,"S",0.0,3,"male","Mr",1,"1"
41.0,"S",19.5,2,"female","Mrs",2,"1"
37.0,"C",29.700000000000003,1,"male","Mr",2,"0"
26.0,"Q",7.75,3,"female","Ms",1,"1"
63.0,"S",77.95830000000001,1,"female","Ms",2,"1"
45.0,"S",7.75,3,"female","Ms",1,"0"
28.0,"S",0.0,2,"male","Mr",1,"0"
7.0,"Q",29.125,3,"male","Master",6,"0"
35.0,"S",20.25,3,"female","Mrs",3,"1"
65.0,"Q",7.75,3,"male","Mr",1,"0"
28.0,"S",7.8542000000000005,3,"male","Mr",1,"0"
16.0,"S",9.5,3,"male","Mr",1,"0"
19.0,"S",8.05,3,"male","Mr",1,"1"
64.0,"S",26.0,1,"male","Mr",1,"0"
33.0,"C",8.6625,3,"male","Mr",1,"0"
30.0,"S",9.5,3,"male","Mr",1,"1"
22.0,"S",7.8958,3,"male","Mr",1,"0"
42.0,"S",13.0,2,"male","Mr",1,"1"
22.0,"Q",7.75,3,"female","Ms",1,"1"
26.0,"S",78.85000000000001,1,"female","Ms",1,"1"
19.0,"C",91.0792,1,"female","Mrs",2,"1"
36.0,"C",12.875,2,"male","Mr",1,"0"
24.0,"S",8.85,3,"female","Ms",1,"0"
24.0,"S",7.8958,3,"male","Mr",1,"0"
30.0,"C",27.7208,1,"male","Mr",1,"0"
23.5,"C",7.2292000000000005,3,"male","Mr",1,"0"
2.0,"S",151.55,1,"female","Ms",4,"0"
41.0,"S",30.5,1,"male","Mr",1,"1"
50.0,"C",247.5208,1,"female","Mrs",2,"1"
26.0,"Q",7.75,3,"female","Ms",1,"1"
30.5,"Q",23.25,3,"male","Mr",3,"1"
19.0,"S",0.0,3,"male","Mr",1,"0"
30.0,"Q",12.350000000000001,2,"female","Ms",1,"1"
29.0,"S",8.05,3,"male","Mr",1,"0"
0.92,"S",151.55,1,"male","Master",4,"1"
27.5,"C",110.8833,1,"female","Ms",1,"1"
17.0,"C",108.9,1,"female","Mrs",2,"1"
30.0,"C",24.0,2,"male","Mr",2,"0"
30.0,"C",56.9292,1,"female","Ms",1,"1"
24.0,"C",83.1583,1,"female","Ms",1,"1"
18.0,"C",262.375,1,"female","Ms",5,"1"
26.0,"S",26.0,2,"female","Mrs",3,"0"
28.0,"S",7.8958,3,"male","Mr",1,"0"
43.0,"S",26.25,2,"male","Mr",3,"0"
26.0,"S",7.8542000000000005,3,"female","Ms",1,"1"
24.0,"S",26.0,2,"female","Mrs",2,"1"
54.0,"S",14.0,2,"male","Other",1,"0"
31.0,"S",164.8667,1,"female","Ms",3,"1"
40.0,"C",134.5,1,"female","Mrs",3,"1"
22.0,"S",7.25,3,"male","Mr",1,"0"
27.0,"S",7.8958,3,"male","Mr",1,"0"
30.0,"Q",12.350000000000001,2,"female","Ms",1,"1"
22.0,"S",29.0,2,"female","Mrs",3,"1"
28.0,"S",69.55,3,"male","Mr",11,"0"
36.0,"C",135.63330000000002,1,"female","Ms",1,"1"
61.0,"S",6.237500000000001,3,"male","Mr",1,"0"
36.0,"S",13.0,2,"female","Mrs",1,"1"
31.0,"S",20.525000000000002,3,"female","Mrs",3,"1"
16.0,"C",57.979200000000006,1,"female","Ms",2,"1"
7.0,"Q",23.25,3,"female","Ms",3,"1"
45.5,"S",28.5,1,"male","Mr",1,"0"
38.0,"S",153.4625,1,"male","Mr",2,"0"
16.0,"S",18.0,3,"male","Mr",3,"0"
40.0,"S",133.65,1,"female","Mrs",2,"1"
29.0,"S",7.8958,3,"male","Mr",1,"0"
29.0,"S",66.60000000000001,1,"male","Mr",2,"0"
41.0,"C",134.5,1,"female","Ms",1,"1"
45.0,"S",8.05,3,"male","Mr",1,"1"
45.0,"S",35.5,1,"male","Mr",1,"0"
2.0,"S",26.0,2,"male","Master",3,"1"
24.0,"S",263.0,1,"female","Ms",6,"1"
28.0,"S",13.0,2,"male","Mr",1,"0"
25.0,"S",13.0,2,"male","Mr",1,"0"
36.0,"S",13.0,2,"male","Mr",1,"0"
24.0,"S",13.0,2,"female","Ms",1,"1"
40.0,"S",13.0,2,"female","Ms",1,"1"
26.0,"S",16.1,3,"female","Mrs",2,"1"
3.0,"S",15.9,3,"male","Master",3,"1"
42.0,"S",8.6625,3,"male","Mr",1,"0"
23.0,"S",9.225,3,"male","Mr",1,"0"
54.0,"S",35.0,1,"male","Mr",1,"0"
15.0,"C",7.2292000000000005,3,"male","Mr",3,"0"
25.0,"S",17.8,3,"male","Mr",2,"0"
31.5,"C",7.2250000000000005,3,"male","Mr",1,"0"
28.0,"S",9.5,3,"male","Mr",1,"0"
22.0,"S",55.0,1,"female","Ms",2,"1"
38.0,"S",13.0,2,"female","Ms",1,"0"
19.0,"Q",7.8792,3,"female","Ms",1,"1"
19.0,"Q",7.8792,3,"female","Ms",1,"1"
40.0,"S",27.900000000000002,3,"male","Mr",6,"0"
29.0,"C",27.7208,2,"male","Mr",2,"0"
45.0,"C",14.4542,3,"female","Mrs",2,"0"
35.0,"S",7.050000000000001,3,"male","Mr",1,"0"
40.0,"Q",15.5,3,"male","Mr",2,"0"
30.0,"S",7.25,3,"male","Mr",1,"0"
60.0,"C",75.25,1,"female","Mrs",2,"1"
30.0,"C",7.2292000000000005,3,"female","Mrs",1,"1"
26.0,"Q",7.75,3,"female","Ms",1,"1"
24.0,"C",69.3,1,"female","Mrs",1,"1"
25.0,"C",55.441700000000004,1,"male","Mr",2,"1"
18.0,"S",6.4958,3,"male","Mr",2,"0"
19.0,"S",8.05,3,"male","Mr",1,"0"
22.0,"C",135.63330000000002,1,"male","Mr",1,"0"
3.0,"S",21.075,3,"female","Ms",5,"0"
50.0,"C",82.1708,1,"female","Mrs",2,"1"
22.0,"S",7.25,3,"female","Ms",1,"1"
27.0,"C",211.5,1,"male","Mr",3,"0"
20.0,"C",4.0125,3,"male","Mr",1,"0"
19.0,"S",7.775,3,"male","Mr",1,"0"
42.0,"C",227.525,1,"female","Ms",1,"1"
1.0,"C",15.741700000000002,3,"female","Ms",3,"1"
32.0,"S",7.925000000000001,3,"male","Mr",1,"0"
35.0,"S",52.0,1,"female","Mrs",2,"1"
29.0,"S",7.8958,3,"male","Mr",1,"0"
18.0,"S",73.5,2,"male","Mr",1,"0"
1.0,"S",46.900000000000006,3,"male","Master",8,"0"
36.0,"S",13.0,2,"female","Ms",1,"1"
26.0,"Q",7.7292000000000005,3,"male","Mr",1,"0"
17.0,"C",12.0,2,"female","Ms",1,"1"
36.0,"S",120.0,1,"male","Mr",4,"1"
21.0,"S",7.795800000000001,3,"male","Mr",1,"1"
28.0,"S",7.925000000000001,3,"male","Mr",3,"0"
23.0,"C",113.275,1,"female","Ms",2,"1"
24.0,"S",16.7,3,"female","Mrs",3,"1"
22.0,"S",7.795800000000001,3,"male","Mr",1,"0"
31.0,"S",7.8542000000000005,3,"female","Ms",1,"0"
46.0,"S",26.0,2,"male","Mr",1,"0"
23.0,"S",10.5,2,"male","Other",1,"0"
28.0,"S",12.65,2,"female","Mrs",1,"1"
39.0,"S",7.925000000000001,3,"male","Mr",1,"1"
26.0,"S",8.05,3,"male","Mr",1,"0"
21.0,"S",9.825000000000001,3,"female","Ms",2,"0"
28.0,"S",15.850000000000001,3,"male","Mr",2,"0"
20.0,"S",8.6625,3,"female","Ms",1,"0"
34.0,"S",21.0,2,"male","Mr",2,"0"
51.0,"S",7.75,3,"male","Mr",1,"0"
3.0,"S",18.75,2,"male","Master",3,"1"
21.0,"S",7.775,3,"male","Mr",1,"0"
7.5,"S",25.4667,3,"female","Ms",5,"0"
27.0,"S",7.8958,3,"male","Mr",1,"0"
29.5,"Q",6.858300000000001,3,"male","Mr",1,"0"
33.0,"Q",90.0,1,"female","Ms",2,"1"
28.0,"S",0.0,2,"male","Mr",1,"0"
44.0,"S",7.925000000000001,3,"male","Mr",1,"1"
30.0,"S",8.05,3,"female","Mrs",1,"0"
34.0,"S",32.5,2,"female","Mrs",3,"1"
18.0,"S",13.0,2,"female","Ms",3,"1"
30.0,"S",13.0,2,"male","Mr",1,"0"
10.0,"S",24.150000000000002,3,"female","Ms",3,"0"
27.0,"C",7.8958,3,"male","Mr",1,"0"
21.0,"Q",7.733300000000001,3,"male","Mr",1,"0"
29.0,"S",7.875,3,"male","Mr",1,"0"
28.0,"S",14.4,3,"female","Mrs",3,"0"
18.0,"S",20.212500000000002,3,"male","Mr",3,"0"
30.0,"S",7.25,3,"male","Mr",1,"0"
28.0,"S",26.0,2,"female","Mrs",2,"1"
19.0,"S",26.0,2,"female","Ms",1,"1"
42.0,"Q",7.75,3,"male","Mr",1,"0"
32.0,"S",8.05,3,"male","Mr",1,"1"
28.0,"S",26.55,1,"male","Mr",1,"1"
26.0,"S",16.1,3,"female","Mrs",2,"1"
42.0,"S",26.0,2,"female","Mrs",2,"1"
17.0,"S",7.125,3,"male","Mr",1,"0"
50.0,"S",55.900000000000006,1,"male","Mr",2,"0"
14.0,"S",120.0,1,"female","Ms",4,"1"
21.0,"S",34.375,3,"female","Ms",5,"0"
24.0,"S",18.75,2,"female","Mrs",6,"1"
64.0,"S",263.0,1,"male","Mr",6,"0"
31.0,"S",10.5,2,"male","Mr",1,"0"
45.0,"S",26.25,2,"female","Mrs",3,"1"
20.0,"S",9.5,3,"male","Mr",1,"0"
25.0,"S",7.775,3,"male","Mr",2,"0"
28.0,"S",13.0,2,"female","Ms",1,"1"
34.5,"S",8.1125,3,"male","Mr",1,"1"
4.0,"S",81.8583,1,"male","Master",3,"1"
13.0,"S",19.5,2,"female","Ms",2,"1"
34.0,"S",26.55,1,"male","Mr",1,"1"
5.0,"C",19.258300000000002,3,"female","Ms",4,"1"
52.0,"S",30.5,1,"male","Military",1,"1"
36.0,"S",27.75,2,"male","Mr",4,"0"
19.5,"S",19.9667,3,"male","Mr",2,"0"
30.0,"C",27.75,1,"male","Mr",1,"0"
49.0,"C",89.1042,1,"male","Mr",2,"1"
31.0,"S",8.05,3,"male","Mr",1,"0"
29.0,"C",7.8958,3,"male","Mr",1,"1"
65.0,"S",26.55,1,"male","Mr",1,"0"
37.5,"S",51.862500000000004,1,"female","Mrs",2,"1"
50.0,"S",10.5,2,"female","Ms",1,"1"
42.0,"Q",7.75,3,"male","Mr",1,"0"
48.0,"S",26.55,1,"male","Mr",1,"1"
34.0,"S",8.05,3,"male","Mr",1,"0"
47.0,"S",38.5,1,"male","Mr",1,"0"
48.0,"S",13.0,2,"male","Mr",1,"0"
32.0,"S",8.05,3,"male","Mr",1,"0"
38.0,"S",7.050000000000001,3,"male","Mr",1,"0"
28.0,"S",0.0,2,"male","Mr",1,"0"
56.0,"S",26.55,1,"male","Mr",1,"0"
30.0,"Q",7.7250000000000005,3,"male","Mr",1,"0"
0.75,"C",19.258300000000002,3,"female","Ms",4,"1"
30.0,"S",7.25,3,"male","Mr",1,"0"
38.0,"S",8.6625,3,"male","Mr",1,"0"
33.0,"S",27.75,2,"female","Mrs",4,"1"
23.0,"C",13.7917,2,"female","Mrs",1,"1"
22.0,"S",9.8375,3,"female","Ms",1,"0"
42.0,"S",52.0,1,"male","Mr",1,"0"
34.0,"S",21.0,2,"male","Mr",2,"0"
29.0,"S",7.045800000000001,3,"male","Mr",2,"0"
22.0,"S",7.5208,3,"male","Mr",1,"0"
2.0,"S",12.287500000000001,3,"female","Ms",2,"1"
9.0,"S",46.900000000000006,3,"male","Master",8,"0"
28.0,"S",0.0,2,"male","Mr",1,"0"
50.0,"S",8.05,3,"male","Mr",1,"0"
63.0,"S",9.5875,3,"female","Mrs",1,"1"
25.0,"C",91.0792,1,"male","Mr",2,"1"
7.5,"S",25.4667,3,"female","Ms",5,"0"
35.0,"S",90.0,1,"female","Mrs",2,"1"
58.0,"C",29.700000000000003,1,"male","Mr",1,"0"
30.0,"S",8.05,3,"male","Mr",1,"0"
9.0,"S",15.9,3,"male","Master",3,"1"
19.5,"S",19.9667,3,"male","Mr",2,"0"
21.0,"S",7.25,3,"male","Mr",1,"0"
55.0,"S",30.5,1,"male","Mr",1,"0"
71.0,"C",49.504200000000004,1,"male","Mr",1,"0"
21.0,"S",8.05,3,"male","Mr",1,"0"
26.5,"C",14.458300000000001,3,"male","Mr",1,"0"
54.0,"C",78.2667,1,"female","Ms",2,"1"
32.0,"S",15.100000000000001,3,"male","Mr",1,"0"
25.0,"S",151.55,1,"female","Mrs",4,"0"
24.0,"S",7.795800000000001,3,"male","Mr",1,"0"
17.0,"S",8.6625,3,"male","Mr",1,"0"
21.0,"Q",7.75,3,"female","Ms",1,"0"
21.5,"Q",7.6292,3,"female","Ms",1,"0"
37.0,"S",9.5875,3,"female","Ms",1,"0"
16.0,"S",86.5,1,"female","Ms",1,"1"
18.0,"C",108.9,1,"male","Mr",2,"0"
33.0,"S",26.0,2,"female","Mrs",3,"1"
48.0,"S",26.55,1,"male","Mr",1,"1"
28.0,"S",22.525000000000002,3,"male","Mr",1,"0"
